FID,ASS,Name,Kurzname,Haltestellenbereich,Koordinate,Betriebsbereich,Linien
haltestellen.fid-62cca9c6_1651d8457bd_6758,111,Heumarkt,HMG,1,POINT (6.9604570988 50.9357563921),STRAB,1 7 9
haltestellen.fid-62cca9c6_1651d8457bd_6759,112,Heumarkt,HMG,1,POINT (6.9595737676 50.9357045307),STRAB,1 7 9
haltestellen.fid-62cca9c6_1651d8457bd_675a,113,Heumarkt,HMG,1,POINT (6.9574528147 50.9351045185),STRAB,5
haltestellen.fid-62cca9c6_1651d8457bd_675b,114,Heumarkt,HMG,1,POINT (6.9579496548 50.9355407748),STRAB,5
haltestellen.fid-62cca9c6_1651d8457bd_675c,121,Heumarkt,HMG,1,POINT (6.9603999897 50.9355099544),BUS,106 132 133
haltestellen.fid-62cca9c6_1651d8457bd_675d,127,Heumarkt,HMG,1,POINT (6.9599835983 50.9346887422),BUS,106
haltestellen.fid-62cca9c6_1651d8457bd_675e,128,Heumarkt,HMG,1,POINT (6.9599845938 50.9346887596),BUS,106
haltestellen.fid-62cca9c6_1651d8457bd_675f,211,Neumarkt,NEU,2,POINT (6.9481136124 50.935762763),STRAB,1 7 9
haltestellen.fid-62cca9c6_1651d8457bd_6760,212,Neumarkt,NEU,2,POINT (6.9473082935 50.9358336859),STRAB,1 7 9
haltestellen.fid-62cca9c6_1651d8457bd_6761,213,Neumarkt,NEU,2,POINT (6.9468885857 50.9363563084),STRAB,7
haltestellen.fid-62cca9c6_1651d8457bd_6762,214,Neumarkt,NEU,2,POINT (6.9494666461 50.9346367732),STRAB,3 4 16 18
haltestellen.fid-62cca9c6_1651d8457bd_6763,215,Neumarkt,NEU,2,POINT (6.9491003118 50.9354157645),STRAB,3 4 16 18
haltestellen.fid-62cca9c6_1651d8457bd_6764,216,Neumarkt,NEU,2,POINT (6.9468885857 50.9363563084),STRAB,7
haltestellen.fid-62cca9c6_1651d8457bd_6765,221,Neumarkt,NEU,2,POINT (6.9481527709 50.9356459925),BUS,136 146
haltestellen.fid-62cca9c6_1651d8457bd_6766,222,Neumarkt,NEU,2,POINT (6.9480660414 50.9363260168),BUS,136 146
haltestellen.fid-62cca9c6_1651d8457bd_6767,311,Poststr.,PSS,3,POINT (6.9500805214 50.9316916582),STRAB,3 4 16 18
haltestellen.fid-62cca9c6_1651d8457bd_6768,312,Poststr.,PSS,3,POINT (6.9500954734 50.9312610285),STRAB,3 4 16 18
haltestellen.fid-62cca9c6_1651d8457bd_6769,411,Mauritiuskirche,MAK,4,POINT (6.9450683908 50.9346873217),STRAB,9
haltestellen.fid-62cca9c6_1651d8457bd_676a,412,Mauritiuskirche,MAK,4,POINT (6.9451253142 50.9335995359),STRAB,9
haltestellen.fid-62cca9c6_1651d8457bd_676b,611,Rathaus,RAT,6,POINT (6.9595586023 50.9379333709),STRAB,5
haltestellen.fid-62cca9c6_1651d8457bd_676c,612,Rathaus,RAT,6,POINT (6.9596292752 50.9384746818),STRAB,5
haltestellen.fid-62cca9c6_1651d8457bd_676d,711,Appellhofplatz,APB,7,POINT (6.950543766 50.9399234342),STRAB,3 4 16 18
haltestellen.fid-62cca9c6_1651d8457bd_676e,712,Appellhofplatz,APB,7,POINT (6.9505501468 50.9393478547),STRAB,3 4 16 18
haltestellen.fid-62cca9c6_1651d8457bd_676f,713,Appellhofplatz,APB,7,POINT (6.9507951268 50.9412155752),STRAB,5
haltestellen.fid-62cca9c6_1651d8457bd_6770,714,Appellhofplatz,APB,7,POINT (6.9499755448 50.9411200617),STRAB,5
haltestellen.fid-62cca9c6_1651d8457bd_6771,811,Dom/Hbf,DOM,8,POINT (6.9576248565 50.9418157999),STRAB,5 16 18
haltestellen.fid-62cca9c6_1651d8457bd_6772,812,Dom/Hbf,DOM,8,POINT (6.9567097047 50.9417858452),STRAB,5 16 18
haltestellen.fid-62cca9c6_1651d8457bd_6773,911,Breslauer Platz/Hbf,BRE,9,POINT (6.9586599639 50.9444659285),STRAB,16 18
haltestellen.fid-62cca9c6_1651d8457bd_6774,912,Breslauer Platz/Hbf,BRE,9,POINT (6.958693049 50.9443898802),STRAB,16 18
haltestellen.fid-62cca9c6_1651d8457bd_6775,921,Breslauer Platz/Hbf,BRE,9,POINT (6.9605666191 50.9429693247),BUS,132
haltestellen.fid-62cca9c6_1651d8457bd_6776,922,Breslauer Platz/Hbf,BRE,9,POINT (6.9605666191 50.9429693247),BUS,132
haltestellen.fid-62cca9c6_1651d8457bd_6777,923,Breslauer Platz/Hbf,BRE,9,POINT (6.960915437 50.9435115358),BUS,133
haltestellen.fid-62cca9c6_1651d8457bd_6778,926,Breslauer Platz/Hbf,BRE,9,POINT (6.9609139155 50.9435105199),BUS,133
haltestellen.fid-62cca9c6_1651d8457bd_6779,1111,Severinstr.,SEV,11,POINT (6.9579167704 50.9293389915),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_677a,1112,Severinstr.,SEV,11,POINT (6.9559721812 50.9290534899),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_677b,1113,Severinstr.,SEV,11,POINT (6.9573882085 50.9292416944),STRAB,17
haltestellen.fid-62cca9c6_1651d8457bd_677c,1114,Severinstr.,SEV,11,POINT (6.9570669232 50.9292598154),STRAB,17
haltestellen.fid-62cca9c6_1651d8457bd_677d,1115,Severinstr.,SEV,11,POINT (6.9575407742 50.9287153499),STRAB,17
haltestellen.fid-62cca9c6_1651d8457bd_677e,1116,Severinstr.,SEV,11,POINT (6.9572230467 50.928727058),STRAB,17
haltestellen.fid-62cca9c6_1651d8457bd_677f,1121,Severinstr.,SEV,11,POINT (6.9573871242 50.9295392796),BUS,106 132
haltestellen.fid-62cca9c6_1651d8457bd_6780,1122,Severinstr.,SEV,11,POINT (6.9571265041 50.9295629592),BUS,106 132
haltestellen.fid-62cca9c6_1651d8457bd_6781,1221,Waidmarkt,WAI,12,POINT (6.9558109768 50.9325967344),BUS,106 132
haltestellen.fid-62cca9c6_1651d8457bd_6782,1222,Waidmarkt,WAI,12,POINT (6.9562417103 50.9322837384),BUS,106 132
haltestellen.fid-62cca9c6_1651d8457bd_6783,1321,Rosenstr.,ROS,13,POINT (6.9612804867 50.926963893),BUS,106 132
haltestellen.fid-62cca9c6_1651d8457bd_6784,1322,Rosenstr.,ROS,13,POINT (6.9588359928 50.9262832434),BUS,106 132
haltestellen.fid-62cca9c6_1651d8457bd_6785,1421,Silbermöwenweg,SMW,14,POINT (6.8764385125 50.9664105452),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_6786,1422,Silbermöwenweg,SMW,14,POINT (6.8769476425 50.966186864),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_6787,1521,Severinskirche,SVK,15,POINT (6.9615777821 50.9235360691),BUS,106 132
haltestellen.fid-62cca9c6_1651d8457bd_6788,1522,Severinskirche,SVK,15,POINT (6.9604590972 50.9236032274),BUS,106 132
haltestellen.fid-62cca9c6_1651d8457bd_6789,1711,Ubierring,UBI,17,POINT (6.9651667181 50.9223180656),STRAB,15 16
haltestellen.fid-62cca9c6_1651d8457bd_678a,1712,Ubierring,UBI,17,POINT (6.9658583277 50.9224992035),STRAB,16
haltestellen.fid-62cca9c6_1651d8457bd_678b,1713,Ubierring,UBI,17,POINT (6.9662680417 50.9218781274),STRAB,15
haltestellen.fid-62cca9c6_1651d8457bd_678c,1721,Ubierring,UBI,17,POINT (6.9650497194 50.9217123633),BUS,133 142
haltestellen.fid-62cca9c6_1651d8457bd_678d,1722,Ubierring,UBI,17,POINT (6.9647865626 50.9222549568),BUS,133 142
haltestellen.fid-62cca9c6_1651d8457bd_678e,1811,Chlodwigplatz,CWP,18,POINT (6.9602598735 50.9212222388),STRAB,15 16
haltestellen.fid-62cca9c6_1651d8457bd_678f,1812,Chlodwigplatz,CWP,18,POINT (6.9609706576 50.921315512),STRAB,15 16
haltestellen.fid-62cca9c6_1651d8457bd_6790,1813,Chlodwigplatz,CWP,18,POINT (6.9596617475 50.9215233297),STRAB,17
haltestellen.fid-62cca9c6_1651d8457bd_6791,1814,Chlodwigplatz,CWP,18,POINT (6.95950151 50.9210067134),STRAB,17
haltestellen.fid-62cca9c6_1651d8457bd_6792,1821,Chlodwigplatz,CWP,18,POINT (6.9599431913 50.9204143684),BUS,106 132 133
haltestellen.fid-62cca9c6_1651d8457bd_6793,1822,Chlodwigplatz,CWP,18,POINT (6.9594485954 50.9221801972),BUS,106 132
haltestellen.fid-62cca9c6_1651d8457bd_6794,1824,Chlodwigplatz,CWP,18,POINT (6.9603112334 50.9213232372),BUS,133 142
haltestellen.fid-62cca9c6_1651d8457bd_6795,1825,Chlodwigplatz,CWP,18,POINT (6.9605093999 50.9211843283),BUS,142
haltestellen.fid-62cca9c6_1651d8457bd_6796,1911,Ulrepforte,ULR,19,POINT (6.951437134 50.9243235691),STRAB,15 16
haltestellen.fid-62cca9c6_1651d8457bd_6797,1912,Ulrepforte,ULR,19,POINT (6.9520783837 50.9240114048),STRAB,15 16
haltestellen.fid-62cca9c6_1651d8457bd_6798,2011,Bonner Wall,ABW,20,POINT (6.9610329436 50.9164120165),STRAB,17
haltestellen.fid-62cca9c6_1651d8457bd_6799,2012,Bonner Wall,ABW,20,POINT (6.9610956352 50.915944535),STRAB,17
haltestellen.fid-62cca9c6_1651d8457bd_679a,2021,Bonner Wall,ABW,20,POINT (6.9609071734 50.9170107846),BUS,106 132 133 142
haltestellen.fid-62cca9c6_1651d8457bd_679b,2022,Bonner Wall,ABW,20,POINT (6.960772077 50.9170027582),BUS,106 132 133 142
haltestellen.fid-62cca9c6_1651d8457bd_679c,2111,Eifelplatz,EIF,21,POINT (6.943890293 50.9235685025),STRAB,12
haltestellen.fid-62cca9c6_1651d8457bd_679d,2112,Eifelplatz,EIF,21,POINT (6.9433225624 50.9231580063),STRAB,12
haltestellen.fid-62cca9c6_1651d8457bd_679e,2211,Eifelstr.,EFS,22,POINT (6.9454459025 50.9268426563),STRAB,12 15 16
haltestellen.fid-62cca9c6_1651d8457bd_679f,2212,Eifelstr.,EFS,22,POINT (6.946180649 50.9264546433),STRAB,12 15 16
haltestellen.fid-62cca9c6_1651d8457bd_67a0,2311,Barbarossaplatz,BAB,23,POINT (6.9434074467 50.9291439767),STRAB,16 18
haltestellen.fid-62cca9c6_1651d8457bd_67a1,2312,Barbarossaplatz,BAB,23,POINT (6.9429223395 50.9288108426),STRAB,16 18
haltestellen.fid-62cca9c6_1651d8457bd_67a2,2313,Barbarossaplatz,BAB,23,POINT (6.9419120743 50.9291651078),STRAB,12 15
haltestellen.fid-62cca9c6_1651d8457bd_67a3,2314,Barbarossaplatz,BAB,23,POINT (6.9423455801 50.9288132683),STRAB,12 15
haltestellen.fid-62cca9c6_1651d8457bd_67a4,2411,Zülpicher Platz,ZPL,24,POINT (6.9404995694 50.931752713),STRAB,12 15
haltestellen.fid-62cca9c6_1651d8457bd_67a5,2412,Zülpicher Platz,ZPL,24,POINT (6.9406373576 50.9313205637),STRAB,12 15
haltestellen.fid-62cca9c6_1651d8457bd_67a6,2413,Zülpicher Platz,ZPL,24,POINT (6.9403859897 50.9309153651),STRAB,9
haltestellen.fid-62cca9c6_1651d8457bd_67a7,2414,Zülpicher Platz,ZPL,24,POINT (6.9411004722 50.9313656077),STRAB,9
haltestellen.fid-62cca9c6_1651d8457bd_67a8,2511,Dasselstr./Bf Süd,DBS,25,POINT (6.9360885407 50.9284169787),STRAB,9
haltestellen.fid-62cca9c6_1651d8457bd_67a9,2512,Dasselstr./Bf Süd,DBS,25,POINT (6.9354740807 50.9281171415),STRAB,9
haltestellen.fid-62cca9c6_1651d8457bd_67aa,2611,Eifelwall,EFW,26,POINT (6.937176778 50.924873049),STRAB,18
haltestellen.fid-62cca9c6_1651d8457bd_67ab,2612,Eifelwall,EFW,26,POINT (6.9365548572 50.924401843),STRAB,18
haltestellen.fid-62cca9c6_1651d8457bd_67ac,2621,Eifelwall,EFW,26,POINT (6.9370280024 50.9253313524),BUS,142
